"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3557626,149,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557626,149,"Instagram",NA,"8"
3557380,118,"www.tripadvisor.com",NA,"Very Useful10"
3557380,120,"Travel guides/books about New Zealand",NA,"8"
3557466,121,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557466,121,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557380,119,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557380,119,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557380,120,"www.i-SITE.org.nz",NA,"8"
3557466,124,"Travel guides/books about New Zealand",NA,"9"
3557380,121,"Other publications e.g. magazines",NA,"Very Useful10"
3557466,124,"Another source","Another source","9"
3557466,124,"Another source","Another source","Another source"
3557372,93,"Friends, family and colleagues",NA,"8"
3557380,121,"Other publications e.g. magazines",NA,"8"
3557372,93,"Expedia","Expedia","8"
3557466,120,"www.lonleyplanet.com",NA,"7"
3557372,93,"Expedia","Expedia","7"
3557628,110,"Friends, family and colleagues",NA,"Very Useful10"
3557390,96,"Friends, family and colleagues","Friends, family and colleagues","9"
3557404,92,"Airline websites","Airline websites","Not Sure"
3557628,111,"www.tripadvisor.com",NA,"8"
3557628,111,"www.tripadvisor.com",NA,"8"
3557468,103,"Airline websites","Airline websites","8"
3557396,166,"www.lonleyplanet.com",NA,"9"
3557633,106,"Friends, family and colleagues",NA,"8"
3557406,103,"Friends, family and colleagues",NA,"8"
3557633,106,"Travel agents in your home country via the internet",NA,"8"
3557468,104,"Travel agents in your home country via the internet",NA,"6"
3557396,168,"Another social networking website",NA,"9"
3557633,109,"Travel guides/books about New Zealand",NA,"9"
3557468,105,"www.i-SITE.org.nz",NA,"8"
3557468,106,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","6"
3557468,104,"www.tripadvisor.com","www.tripadvisor.com","6"
3557468,104,"www.tripadvisor.com","www.tripadvisor.com","8"
3557396,168,"Online travel blogs",NA,"9"
3557468,107,"Google+",NA,"7"
3557407,120,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","9"
3557468,107,"Google+",NA,"8"
3557633,108,"www.tripadvisor.com",NA,"8"
3557633,108,"www.tripadvisor.com",NA,"8"
3557396,165,"Travel agents in your home country over the phone",NA,"Not at all Useful1"
3557468,108,"Another social networking website",NA,"8"
3557396,165,"Travel agents in your home country over the phone",NA,"8"
3557633,107,"Travel agents in your home country in person","Travel agents in your home country in person","6"
3557468,109,"Travel guides/books about New Zealand",NA,"6"
3557396,169,"Travel guides/books about New Zealand",NA,"9"
3557468,109,"Travel guides/books about New Zealand",NA,"9"
3557633,109,"Other publications e.g. magazines",NA,"9"
3557396,169,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557424,103,"None of these","None of these","None of these"
3557468,108,"Online travel blogs",NA,"8"
3557398,95,"None of these","None of these","None of these"
3557474,106,"Travel guides/books about New Zealand",NA,"9"
3557493,103,"Online travel blogs","Online travel blogs","8"
3557518,106,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557474,106,"Travel guides/books about New Zealand",NA,"8"
3557660,121,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","Not Sure"
3557413,88,"www.wotif.com","www.wotif.com","6"
3557543,162,"None of these","None of these","None of these"
3557474,105,"www.lonleyplanet.com",NA,"Very Useful10"
3557660,122,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","Very Useful10"
3557474,105,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557660,120,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3557550,122,"Friends, family and colleagues",NA,"Very Useful10"
3557550,123,"Facebook",NA,"9"
3557550,123,"Facebook",NA,"Very Useful10"
3557430,145,"Friends, family and colleagues",NA,"8"
3557676,120,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3557487,126,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557430,145,"Airline websites",NA,"8"
3557676,121,"Airline websites","Airline websites","Very Useful10"
3557430,147,"Online travel blogs",NA,"8"
3557430,147,"Facebook",NA,"8"
3557561,89,"Airline websites",NA,"7"
3557685,109,"Airline websites","Airline websites","Very Useful10"
3557432,140,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557488,144,"www.tripadvisor.com",NA,"6"
3557488,144,"www.tripadvisor.com",NA,"8"
3557561,90,"Another social networking website",NA,"6"
3557432,142,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","9"
3557561,90,"Another social networking website",NA,"7"
3557488,143,"Friends, family and colleagues",NA,"Very Useful10"
3557561,91,"Another source",NA,"Another source"
3557432,143,"Essential New Zealand mobile app",NA,"8"
3557488,145,"www.lonleyplanet.com",NA,"8"
3557432,140,"www.i-SITE.org.nz",NA,"Very Useful10"
3557687,143,"Online travel blogs",NA,"Very Useful10"
3557432,144,"Travel guides/books about New Zealand",NA,"9"
3557577,187,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557488,146,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557432,144,"Travel guides/books about New Zealand",NA,"9"
3557488,146,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3557432,141,"Websites of individual i-SITE centres",NA,"8"
3557488,145,"Instagram",NA,"8"
3557577,188,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","6"
3557694,104,"Friends, family and colleagues",NA,"Very Useful10"
3557432,141,"Websites of individual i-SITE centres",NA,"Very Useful10"
3557694,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3557694,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557577,190,"Travel guides/books about New Zealand",NA,"8"
3557577,190,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557694,106,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557577,189,"Essential New Zealand mobile app","Essential New Zealand mobile app","Very Useful10"
3557489,124,"Friends, family and colleagues",NA,"Very Useful10"
3557712,104,"By phoning airlines","By phoning airlines","5"
3557712,104,"By phoning airlines","By phoning airlines","5"
3557432,143,"Online travel blogs",NA,"8"
3557577,191,"Another source","Another source","Another source"
3557489,126,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557712,105,"Travel guides/books about New Zealand",NA,"5"
3557489,124,"Airline websites",NA,"Very Useful10"
3557712,103,"Friends, family and colleagues",NA,"Very Useful10"
3557712,103,"Airline websites","Airline websites","Very Useful10"
3557712,103,"Airline websites","Airline websites","5"
3557490,115,"Friends, family and colleagues",NA,"8"
3557577,187,"Facebook",NA,"8"
3557446,109,"Friends, family and colleagues",NA,"Very Useful10"
3557490,116,"www.tripadvisor.com",NA,"Very Useful10"
3557446,110,"www.wotif.com","www.wotif.com","Very Useful10"
3557490,115,"Airline websites","Airline websites","8"
3557446,110,"www.wotif.com","www.wotif.com","9"
3557586,95,"Friends, family and colleagues",NA,"Very Useful10"
3557490,115,"Airline websites","Airline websites","Very Useful10"
3557717,128,"Friends, family and colleagues",NA,"8"
3557446,109,"Airline websites","Airline websites","Very Useful10"
3557446,109,"Airline websites","Airline websites","Very Useful10"
3557490,118,"Another source",NA,"8"
3557717,128,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557595,134,"Friends, family and colleagues",NA,"8"
3557490,117,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557717,129,"Facebook",NA,"8"
3557490,117,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557490,118,"Online travel blogs",NA,"8"
3557446,111,"100% Pure New Zealand www.newzealand.com",NA,"9"
3557717,129,"Facebook",NA,"Very Useful10"
3557595,136,"Travel guides/books about New Zealand",NA,"9"
3557717,130,"Pinterest",NA,"7"
3557446,112,"Webjet","Webjet","9"
3557595,136,"Google+",NA,"9"
3557595,135,"Instagram",NA,"9"
3557595,135,"Instagram",NA,"2"
3557717,130,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3557448,112,"Travel guides/books about New Zealand",NA,"Not at all Useful1"
3557448,112,"Travel guides/books about New Zealand",NA,"6"
3557505,121,"Expedia",NA,"Very Useful10"
3557602,102,"Google+","Google+","Not Sure"
3557448,108,"Friends, family and colleagues",NA,"9"
3557717,130,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3557448,113,"Other publications e.g. magazines",NA,"6"
3557448,108,"Airline websites","Airline websites","9"
3557448,108,"Airline websites","Airline websites","6"
3557507,141,"None of these","None of these","None of these"
3557448,110,"Instagram",NA,"9"
3557448,110,"Instagram",NA,"6"
3557448,111,"Expedia",NA,"9"
3557609,96,"Online travel blogs",NA,"Not Sure"
3557448,111,"Google+",NA,"9"
3557540,118,"www.tripadvisor.com",NA,"8"
3557737,125,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3557448,109,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557540,117,"Airline websites","Airline websites","6"
3557737,126,"Airline websites","Airline websites","6"
3557540,118,"Expedia",NA,"8"
3557609,94,"Facebook",NA,"8"
3557464,92,"None of these","None of these","None of these"
3557609,95,"www.i-SITE.org.nz",NA,"7"
3557609,95,"www.i-SITE.org.nz",NA,"9"
3557479,153,"www.lonleyplanet.com",NA,"7"
3557742,139,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3557554,128,"Another social networking website","Another social networking website","9"
3557742,139,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3557609,92,"Travel agents in your home country in person","Travel agents in your home country in person","8"
3557742,138,"100% Pure New Zealand www.newzealand.com",NA,"7"
3557554,127,"Facebook","Facebook","8"
3557497,123,"100% Pure New Zealand www.newzealand.com",NA,"7"
3557742,136,"Friends, family and colleagues",NA,"7"
3557609,94,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557555,137,"Pinterest",NA,"6"
3557742,137,"www.lonleyplanet.com",NA,"6"
3557742,137,"www.lonleyplanet.com",NA,"7"
3557555,138,"Travel guides/books about New Zealand",NA,"7"
3557609,91,"By visiting an airline outlet",NA,"7"
3557555,138,"Online travel blogs",NA,"7"
3557609,91,"Travel agents in your home country over the phone",NA,"7"
3557498,127,"Friends, family and colleagues","Friends, family and colleagues","9"
3557742,138,"Instagram",NA,"7"
3557557,146,"None of these","None of these","None of these"
3557609,93,"www.tripadvisor.com",NA,"8"
3557609,93,"www.tripadvisor.com",NA,"8"
3557498,128,"Airline websites","Airline websites","8"
3557609,96,"An i-SITE consultant or staff member by email or phone",NA,"Not Sure"
3557742,140,"Online travel blogs",NA,"7"
