"SurveyResponseID","AnswerNumber","TechnologyUses"
3557616,109,"Transport/ travel options around New Zealand"
3557652,150,"Weather information"
3557631,162,"Accommodation in the region you were in"
3557551,161,"Weather information"
3557551,163,"Accommodation in the region you were in"
3557670,136,"Weather information"
3557670,138,"Internet access"
3557670,139,"Directions"
3557647,120,"Directions"
3557670,137,"Maps"
3557670,141,"General information about a different region"
3557670,140,"Overview of NZ regions"
3557647,122,"Attractions / Activities"
3557670,142,"See ratings by other travellers"
3557647,121,"General information about a different region"
3557647,119,"Weather information"
3557670,143,"Information about amenities/services for the town you were in"
3557648,154,"Check/confirm existing travel plans"
3557553,183,"Check/confirm existing travel plans"
3557553,182,"General information about the region you were in"
3557648,153,"General information about the region you were in"
3557648,157,"Internet access"
3557648,156,"Maps"
3557553,185,"Maps"
3557648,161,"Attractions / Activities"
3557553,192,"General information about a different region"
3557553,193,"See ratings by other travellers"
3557648,160,"Accommodation in a different region"
3557553,187,"Internet access"
3557553,188,"Information about Maori culture / cultural activities"
3557553,189,"Compare prices / find deals"
3557670,144,"Accommodation in the region you were in"
3557553,190,"Directions"
3557648,158,"Compare prices / find deals"
3557648,162,"Suggested itineraries"
3557553,196,"Flights within New Zealand"
3557553,197,"Attractions / Activities"
3557553,198,"Suggested itineraries"
3557648,155,"Weather information"
3557553,184,"Weather information"
3557553,186,"To meet other travellers"
3557553,191,"Overview of NZ regions"
3557553,194,"Accommodation in the region you were in"
3557553,195,"Transport/ travel options around New Zealand"
3557649,124,"Weather information"
3557649,128,"Information about amenities/services for the town you were in"
3557648,159,"Directions"
3557649,126,"Internet access"
3557670,145,"Flights within New Zealand"
3557670,146,"Attractions / Activities"
3557670,147,"Suggested itineraries"
3557649,127,"Directions"
3557558,167,"General information about the region you were in"
3557558,169,"Internet access"
3557677,156,"General information about the region you were in"
3557558,172,"Attractions / Activities"
3557677,157,"Check/confirm existing travel plans"
3557649,125,"Maps"
3557558,168,"Maps"
3557558,171,"Accommodation in a different region"
3557663,124,"Check/confirm existing travel plans"
3557560,107,"None of these"
3557663,125,"Internet access"
3557677,161,"Internet access"
3557677,158,"Access to resources to assist you to plan"
3557677,160,"Maps"
3557663,126,"General information about a different region"
3557677,163,"General information about a different region"
3557677,164,"See ratings by other travellers"
3557677,165,"Suggested itineraries"
3557664,142,"Check/confirm existing travel plans"
3557558,170,"Overview of NZ regions"
3557677,159,"Weather information"
3557677,162,"Overview of NZ regions"
3557693,122,"Weather information"
3557693,125,"Transport/ travel options around New Zealand"
