"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3558138,121,"Emirates","9"
3559543,182,"China Southern","6"
3558289,113,"Emirates","9"
3558397,149,"Another airline",NA
3557722,166,"Air New Zealand","8"
3558230,134,"Emirates","Excellent  10"
3558097,160,"Singapore Airlines","8"
3559523,126,"Qantas","7"
3558262,122,"Air New Zealand","8"
3558389,139,"Qantas","9"
3558258,167,"Air New Zealand","Excellent  10"
3559571,213,"Singapore Airlines","Excellent  10"
3558110,121,"Singapore Airlines","9"
3558214,124,"Korean Air","4"
3557742,167,"Cathay Pacific","6"
3558122,122,"Emirates","9"
3557638,99,"Emirates","5"
3558457,183,"Qantas","9"
3558265,157,"Emirates","Excellent  10"
3559587,120,"Qantas","Excellent  10"
3557694,128,"Emirates","9"
3558385,136,"Emirates","7"
3558290,116,"Another airline",NA
3558493,144,"Another airline",NA
3559579,117,"Air New Zealand","Excellent  10"
3557754,140,"China Southern","6"
3559507,169,"Malaysian Airlines","7"
3558357,168,"Air Asia X","7"
3557702,135,"JetStar",NA
3558250,116,"Singapore Airlines","9"
3558270,151,"Another airline",NA
3559551,192,"Qantas","9"
3559603,150,"Virgin/Virgin Blue/Pacific Blue","7"
3559519,147,"Emirates","Excellent  10"
3558242,147,"Emirates","9"
3558294,168,"Emirates","9"
3558282,152,"Air New Zealand","9"
3558317,165,"Air New Zealand","8"
3558304,150,"Emirates","Excellent  10"
3559623,171,"Air New Zealand","9"
3559643,185,"Air New Zealand","9"
3558417,124,"American Airlines","Excellent  10"
3558312,123,"American Airlines","Excellent  10"
3559738,152,"Air New Zealand","8"
3559599,141,"Air New Zealand","5"
3558316,161,"Emirates","Excellent  10"
3558266,162,"Emirates","Excellent  10"
3558409,144,"China Southern","Excellent  10"
3557846,220,"Air New Zealand","9"
3559782,115,"Emirates","Excellent  10"
3558501,112,"Emirates",NA
3558325,171,"Another airline",NA
3558342,138,"China Southern","9"
3557894,157,"Another airline",NA
3558521,172,"Another airline",NA
3558561,131,"Air New Zealand","Excellent  10"
3558370,123,"Another airline",NA
3558574,148,"Another airline",NA
3557750,200,"Emirates","Excellent  10"
3558378,250,"Air New Zealand","Excellent  10"
3559607,146,"Emirates","9"
3557918,126,"Air New Zealand",NA
3558529,107,"JetStar","8"
3557866,177,"China Southern","5"
3558533,177,"Air New Zealand","9"
3557854,112,"Emirates","6"
3559690,152,"Singapore Airlines","Excellent  10"
3557858,165,"Another airline",NA
3559794,118,"Emirates","Excellent  10"
3558553,186,"Cathay Pacific","8"
3558374,160,"Cathay Pacific","3"
3558549,148,"JetStar","5"
3559766,127,"Air New Zealand","9"
3558578,178,"Air New Zealand","9"
3559631,148,"Virgin/Virgin Blue/Pacific Blue","6"
3557898,165,"Another airline",NA
3559758,150,"Singapore Airlines","8"
3559710,186,"Singapore Airlines","Excellent  10"
3559718,107,"Qantas","5"
3559810,144,"Qantas","Excellent  10"
3558469,145,"Air New Zealand","9"
3557850,153,"Another airline",NA
3559503,216,"Emirates","Excellent  10"
3557774,113,"Emirates","Excellent  10"
3559694,194,"Air Asia X","8"
3558541,128,"China Southern","9"
3558505,125,"Emirates","8"
3559802,221,"Emirates","8"
3558338,159,"Another airline",NA
3557706,190,"Korean Air","Excellent  10"
3557938,123,"Korean Air","8"
3558366,144,"Air New Zealand","7"
3558299,174,"Qantas","Excellent  10"
3558537,148,"Qantas","9"
3559862,139,"Another airline",NA
3557974,135,"Another airline",NA
3558565,109,"Emirates","9"
3559842,125,"American Airlines","6"
