"SurveyResponseID","AnswerNumber","iSiteUsage"
3558021,101,"Overview of NZ regions"
3558021,102,"Attractions / Activities"
3558028,102,"Attractions / Activities"
3557850,85,"Attractions / Activities"
3558338,92,"Compare prices / find deals"
3557821,101,"General information about the region you were in"
3558338,93,"Overview of NZ regions"
3557821,103,"Attractions / Activities"
3558028,101,"Maps"
3558338,91,"Maps"
3557864,93,"Compare prices / find deals"
3558338,94,"Accommodation in a different region"
3558338,95,"Transport/ travel options around New Zealand"
3557821,102,"Information about amenities/services for the town you were in"
3558338,90,"Access to resources to assist you to plan"
3557821,104,"Something else"
3557864,94,"Directions"
3557864,96,"Suggested itineraries"
3558046,108,"Accommodation in the region you were in"
3558370,81,"Information about Maori culture / cultural activities"
3557823,118,"Information about amenities/services for the town you were in"
3557823,117,"General information about a different region"
3557823,119,"Accommodation in the region you were in"
3557865,97,"Access to resources to assist you to plan"
3557823,120,"Accommodation in a different region"
3557823,121,"Flights within New Zealand"
3557864,95,"Attractions / Activities"
3558046,104,"General information about the region you were in"
3558046,107,"Overview of NZ regions"
3558370,82,"Attractions / Activities"
3557823,113,"General information about the region you were in"
3557823,116,"Overview of NZ regions"
3557823,122,"Attractions / Activities"
3558370,79,"Maps"
3558046,105,"Maps"
3558046,106,"Internet access"
3558370,80,"Internet access"
3557823,114,"Weather information"
3558372,102,"Transport/ travel options around New Zealand"
3558420,150,"Information about amenities/services for the town you were in"
3557823,115,"Maps"
3557865,98,"Maps"
3558372,98,"Weather information"
3558372,101,"Overview of NZ regions"
3558071,91,"Transport/ travel options around New Zealand"
3557823,123,"Suggested itineraries"
3557824,96,"Attractions / Activities"
3557866,111,"Accommodation in the region you were in"
3557866,110,"General information about a different region"
3558071,89,"General information about the region you were in"
3557866,108,"General information about the region you were in"
3558372,99,"Maps"
3558372,100,"Internet access"
3557824,95,"Maps"
3557838,73,"Maps"
3558071,90,"Maps"
3557866,109,"Maps"
3557866,112,"Suggested itineraries"
3558422,100,"Information about Maori culture / cultural activities"
3558422,101,"General information about a different region"
3558076,162,"General information about a different region"
3557880,114,"General information about a different region"
3558422,102,"Accommodation in the region you were in"
3558422,103,"Transport/ travel options around New Zealand"
3558076,163,"Event information"
3558076,157,"General information about the region you were in"
3557880,112,"General information about the region you were in"
3558076,161,"Overview of NZ regions"
3558422,98,"Maps"
3558422,99,"Internet access"
3558076,158,"Weather information"
3558076,159,"Maps"
3558076,160,"Internet access"
3558486,99,"Access to resources to assist you to plan"
3558486,102,"Attractions / Activities"
3557872,73,"General information about the region you were in"
3557883,94,"Overview of NZ regions"
3557872,77,"Information about amenities/services for the town you were in"
3557872,78,"Transport/ travel options around New Zealand"
3557880,113,"Maps"
3558486,100,"Maps"
3558538,90,"Transport/ travel options around New Zealand"
3557872,75,"Maps"
3558085,84,"Weather information"
3558085,85,"Maps"
3558085,86,"Internet access"
3558538,91,"Attractions / Activities"
3558085,87,"Event information"
3558486,101,"Directions"
3558486,103,"Suggested itineraries"
3557872,74,"Access to resources to assist you to plan"
3557872,76,"Directions"
3557883,95,"General information about a different region"
