"SurveyResponseID","AnswerNumber","HobbitExpType"
3559694,133,"Wanted to see if the scenery was like it was in the film"
3559694,134,"Wanted to see where the film was made"
3559694,135,"I wanted to visit Hobbiton"
3559710,158,"The scenery"
3559713,129,"Wanted to see where the film was made"
3559713,130,"I wanted to visit Hobbiton"
3559717,138,"The scenery"
3559775,90,"The scenery"
3559802,166,"The scenery"
3559802,167,"Wanted to see if the scenery was like it was in the film"
3559802,168,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559802,169,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559862,106,"The scenery"
3559862,107,"Wanted to see if the scenery was like it was in the film"
3559862,108,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559862,109,"Wanted to see where the film was made"
3559862,110,"I wanted to visit Hobbiton"
3559868,110,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559872,126,"The scenery"
3559872,127,"I wanted to visit Hobbiton"
3559872,128,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559877,117,"The scenery"
3559877,118,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559877,119,"Wanted to see where the film was made"
3559877,120,"I wanted to visit Hobbiton"
3559879,139,"The scenery"
3559879,140,"Wanted to see if the scenery was like it was in the film"
3559879,141,"Wanted to see where the film was made"
3577297,158,"The scenery"
3577297,159,"Wanted to see if the scenery was like it was in the film"
3577297,160,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577297,161,"Wanted to see where the film was made"
3577297,162,"I wanted to visit Hobbiton"
3577298,106,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577353,89,"Wanted to see if the scenery was like it was in the film"
3577362,124,"The scenery"
3577362,125,"Wanted to see if the scenery was like it was in the film"
3577363,103,"The scenery"
3577363,104,"Wanted to see if the scenery was like it was in the film"
3577363,105,"Wanted to see where the film was made"
3577370,138,"Wanted to see where the film was made"
3577371,105,"The scenery"
3577395,102,"The scenery"
3577395,103,"Wanted to see if the scenery was like it was in the film"
3577395,104,"I wanted to visit Hobbiton"
3577395,105,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577430,104,"The scenery"
3577430,105,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577430,106,"Wanted to see where the film was made"
3577430,107,"I wanted to visit Hobbiton"
3577430,108,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577433,129,"The scenery"
3577433,130,"Wanted to see if the scenery was like it was in the film"
3577433,131,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577433,132,"Wanted to see where the film was made"
3577433,133,"I wanted to visit Hobbiton"
3577433,134,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577446,171,"The scenery"
3577446,172,"Wanted to see if the scenery was like it was in the film"
3577446,173,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577446,174,"I wanted to visit Hobbiton"
3577455,141,"The scenery"
3577455,142,"Wanted to see if the scenery was like it was in the film"
3577455,143,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577455,144,"Wanted to see where the film was made"
3577455,145,"I wanted to visit Hobbiton"
3577471,106,"I wanted to visit Hobbiton"
3577527,121,"The scenery"
3577527,122,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577527,123,"Wanted to see where the film was made"
3577527,124,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577535,121,"The scenery"
3577535,122,"Wanted to see if the scenery was like it was in the film"
3577535,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3577535,124,"Wanted to see where the film was made"
3577535,125,"I wanted to visit Hobbiton"
3577547,114,"The scenery"
3577547,115,"Wanted to see if the scenery was like it was in the film"
3577547,116,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3577553,104,"Wanted to see where the film was made"
