"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3559062,106,"Accommodation","No free internet"
3558835,122,"Food & beverage outlets","Too expensive"
3559094,96,"Accommodation","No free internet"
3559015,108,"Accommodation","No free internet"
3559007,112,"Maori activities experienced","Learnt about a new culture"
3559015,110,"Activities experienced","Another reason"
3559159,95,"Customer service","Slow"
3559087,96,"Customer service","Another reason"
3558979,118,"Sense of safety","Another reason"
3559114,99,"Accommodation","Too expensive"
3559096,81,"Accommodation","Too expensive"
3558850,119,"Accommodation","Too expensive"
3558835,123,"Maori activities experienced","Learnt about a new culture"
3559176,101,"Customer service","Another reason"
3558913,119,"i-Sites","Shut too early/short opening hours"
3559014,82,"Food & beverage outlets","Another reason"
3559110,100,"Commercial transport","Poor customer service"
3558927,142,"Accommodation","Poor value for money"
3559062,108,"Accommodation","Noisy"
3559114,100,"Accommodation","Poor standard of cleanliness/dirty"
3558835,124,"Maori activities experienced","Did not live up to expectations"
3559015,109,"Accommodation","Generally poor standard"
3558850,122,"Maori activities experienced","Good staff"
3559148,78,"Customer service","Another reason"
3558850,120,"Accommodation","Poor value for money"
3558867,103,"Commercial transport","Rental car/company did not meet expectations"
3559087,95,"Commercial transport","Rental car/company did not meet expectations"
3559114,101,"i-Sites","No reason"
3558850,123,"Maori activities experienced","Did not live up to expectations"
3558867,102,"Commercial transport","Expensive"
3559228,134,"Commercial transport","Another reason"
3558883,138,"Commercial transport","Expensive"
3559146,101,"Food & beverage outlets","Another reason"
3558899,116,"Accommodation","Generally poor standard"
3558981,102,"Commercial transport","Expensive"
3559181,103,"Food & beverage outlets","Poor food quality"
3559176,100,"Commercial transport","Expensive"
3558850,121,"Maori activities experienced","Informative"
3558883,140,"NZ environment","More effort to preserve natural environment requir"
3558867,104,"Commercial transport","Inconvenient public transportation"
3558883,139,"NZ environment","Urban sprawl"
3559261,108,"Food & beverage outlets","Not sure"
3558900,156,"i-Sites","Lack of knowledge on free attractions"
3558919,101,"Food & beverage outlets","Alcohol too expensive"
3559171,84,"Food & beverage outlets","No reason"
3558903,135,"Food & beverage outlets","Too expensive"
3558919,100,"Food & beverage outlets","Not as good as you get overseas"
3559275,170,"Sense of safety","Poor driving standards, e.g. aggressive, speeding,"
3559295,92,"Customer service","Staff not friendly"
3558919,102,"Commercial transport","Another reason"
3559183,116,"NZ environment","Dull cities"
3558919,99,"Food & beverage outlets","Too expensive"
3559198,84,"Sense of safety","Another reason"
3558900,155,"i-Sites","Shut too early/short opening hours"
3559232,143,"Food & beverage outlets","Another reason"
3559224,92,"Activities experienced","Too expensive"
3559222,118,"Food & beverage outlets","No reason"
3559295,91,"Food & beverage outlets","Poor food quality"
3559232,142,"Food & beverage outlets","Not as good as you get overseas"
3558935,93,"Accommodation","Poor standard of cleanliness/dirty"
3558935,96,"Customer service","Staff not knowledgeable"
3559344,143,"Commercial transport","No reason"
3558950,92,"Sense of safety","Another reason"
3559224,91,"Food & beverage outlets","Poor food quality"
3558935,94,"Accommodation","Generally poor standard"
3559273,125,"i-Sites","No reason"
3558935,95,"Accommodation","Another reason"
3559258,117,"Accommodation","Poor/old facilities"
3559233,140,"Food & beverage outlets","Not as good as you get overseas"
3559345,128,"Food & beverage outlets","Limited choices"
3559258,119,"Accommodation","Noisy"
3558984,102,"Customer service","Staff not friendly"
3559378,94,"Food & beverage outlets","No reason"
3559263,105,"Maori activities experienced","Learnt about a new culture"
3559300,115,"Food & beverage outlets","Poor food quality"
3559395,92,"Customer service","Slow"
3559233,139,"Food & beverage outlets","Limited choices"
3559359,156,"NZ environment","Weather"
3559258,118,"Accommodation","No free internet"
3559263,104,"Food & beverage outlets","No reason"
3559263,107,"Maori activities experienced","Not very exciting/boring"
3559395,91,"Customer service","Staff not knowledgeable"
3559265,108,"Customer service","Staff didn't care"
3559395,93,"Customer service","Another reason"
3559395,90,"Food & beverage outlets","Not sure"
3559410,138,"Maori activities experienced","Learnt about a new culture"
3559396,97,"NZ environment","Urban sprawl"
3559410,139,"Maori activities experienced","Informative"
3559330,138,"Food & beverage outlets","Another reason"
3559339,123,"Food & beverage outlets","Too expensive"
3559070,104,"Food & beverage outlets","Another reason"
3559339,122,"Accommodation","Too expensive"
3559412,116,"Food & beverage outlets","Not as good as you get overseas"
3559086,92,"Food & beverage outlets","Too expensive"
3559338,102,"Activities experienced","Too expensive"
