"SurveyResponseID","AnswerNumber","TechnologyType"
3558409,126,"Smart phone"
3558043,176,"Smart phone"
3558180,125,"Wi-fi internet locations"
3558424,98,"Wi-fi internet locations"
3558185,108,"Wi-fi internet locations"
3558185,109,"Your own laptop or iPad/tablet"
3558171,100,"None of these"
3558410,170,"Smart phone"
3558045,109,"None of these"
3558424,97,"Smart phone"
3558187,101,"None of these"
3558054,150,"Wi-fi internet locations"
3558426,160,"Wi-fi internet locations"
3558054,151,"Your own laptop or iPad/tablet"
3558426,161,"Your own laptop or iPad/tablet"
3558440,122,"Wi-fi internet locations"
3558210,99,"Wi-fi internet locations"
3558210,100,"Your own laptop or iPad/tablet"
3558440,123,"Your own laptop or iPad/tablet"
3558086,119,"Wi-fi internet locations"
3558212,104,"Wi-fi internet locations"
3558212,105,"Your own laptop or iPad/tablet"
3558219,98,"Wi-fi internet locations"
3558054,149,"Smart phone"
3558426,159,"Smart phone"
3558210,98,"Smart phone"
3558440,121,"Smart phone"
3558086,118,"Smart phone"
3558212,103,"Smart phone"
3558442,98,"Wi-fi internet locations"
3558088,139,"Wi-fi internet locations"
3558221,108,"Internet cafes"
3558221,109,"Wi-fi internet locations"
3558230,121,"Your own laptop or iPad/tablet"
3558104,129,"Your own laptop or iPad/tablet"
3558244,138,"Wi-fi internet locations"
3558244,139,"Your own laptop or iPad/tablet"
3558219,97,"Smart phone"
3558442,97,"Smart phone"
3558457,168,"Internet cafes"
3558457,169,"Wi-fi internet locations"
3558088,138,"Smart phone"
3558457,167,"Smart phone"
3558457,170,"Your own laptop or iPad/tablet"
3558111,125,"Wi-fi internet locations"
3558111,126,"Your own laptop or iPad/tablet"
3558262,106,"Wi-fi internet locations"
3558262,107,"Your own laptop or iPad/tablet"
3558460,230,"Internet cafes"
3558244,137,"Smart phone"
3558104,128,"Smart phone"
3558111,124,"Smart phone"
3558460,229,"Smart phone"
3558460,231,"Wi-fi internet locations"
3558460,232,"Your own laptop or iPad/tablet"
3558138,101,"Wi-fi internet locations"
3558138,102,"Your own laptop or iPad/tablet"
3558143,95,"Wi-fi internet locations"
3558143,96,"Your own laptop or iPad/tablet"
3558269,96,"None of these"
3558138,100,"Smart phone"
3558143,94,"Smart phone"
3558271,178,"Internet cafes"
3558271,179,"Wi-fi internet locations"
3558475,146,"Your own laptop or iPad/tablet"
3558287,107,"Wi-fi internet locations"
3558287,108,"Your own laptop or iPad/tablet"
3558493,124,"Wi-fi internet locations"
3558493,125,"Your own laptop or iPad/tablet"
3558168,91,"Wi-fi internet locations"
3558294,151,"Internet cafes"
3558294,152,"Wi-fi internet locations"
3558271,177,"Smart phone"
3558475,145,"Smart phone"
3558280,102,"Smart phone"
3558161,118,"Smart phone"
3558287,106,"Smart phone"
3558493,123,"Smart phone"
3558507,158,"Smart phone"
3558296,111,"None of these"
3558507,159,"Wi-fi internet locations"
3558507,160,"Your own laptop or iPad/tablet"
3558524,136,"Smart phone"
3558177,172,"Smart phone"
3558524,137,"Wi-fi internet locations"
3558524,138,"Your own laptop or iPad/tablet"
3558177,173,"Wi-fi internet locations"
3558310,141,"Smart phone"
3558541,115,"Smart phone"
3558526,101,"Wi-fi internet locations"
3558310,142,"Wi-fi internet locations"
3558310,143,"Your own laptop or iPad/tablet"
3558312,106,"Your own laptop or iPad/tablet"
3558542,148,"None of these"
3558541,116,"Wi-fi internet locations"
3558186,108,"Wi-fi internet locations"
3558186,109,"Your own laptop or iPad/tablet"
3558557,138,"Your own laptop or iPad/tablet"
3558346,135,"Your own laptop or iPad/tablet"
3558193,152,"Wi-fi internet locations"
3558557,137,"Smart phone"
3558346,134,"Smart phone"
3558193,151,"Smart phone"
3558574,136,"Smart phone"
3558360,97,"Smart phone"
3558364,101,"None of these"
3558369,126,"Smart phone"
3558590,178,"Smart phone"
3558193,153,"Your own laptop or iPad/tablet"
3558360,98,"Wi-fi internet locations"
3558369,127,"Wi-fi internet locations"
3558590,179,"Wi-fi internet locations"
3558369,128,"Your own laptop or iPad/tablet"
3558590,180,"Your own laptop or iPad/tablet"
3558202,108,"Smart phone"
3558378,205,"Smart phone"
3558202,109,"Wi-fi internet locations"
3558202,110,"Your own laptop or iPad/tablet"
3558592,171,"Wi-fi internet locations"
3558592,172,"Your own laptop or iPad/tablet"
3558378,206,"Internet cafes"
3558378,207,"Wi-fi internet locations"
3558592,170,"Smart phone"
3558593,132,"Smart phone"
3558378,208,"Your own laptop or iPad/tablet"
3558211,108,"Wi-fi internet locations"
3558593,133,"Wi-fi internet locations"
3558593,134,"Your own laptop or iPad/tablet"
3558211,109,"Your own laptop or iPad/tablet"
3558380,144,"Wi-fi internet locations"
3558380,143,"Smart phone"
3558610,118,"Smart phone"
3558213,143,"Smart phone"
3558389,111,"Smart phone"
3558227,131,"Smart phone"
3558640,140,"Smart phone"
3558380,145,"Your own laptop or iPad/tablet"
3558610,119,"Wi-fi internet locations"
3558213,144,"Wi-fi internet locations"
3558389,112,"Internet cafes"
3558389,113,"Wi-fi internet locations"
3558227,132,"Wi-fi internet locations"
3558640,141,"Wi-fi internet locations"
3558389,114,"Your own laptop or iPad/tablet"
3558394,129,"Wi-fi internet locations"
3558643,107,"Wi-fi internet locations"
3558643,108,"Your own laptop or iPad/tablet"
3558644,111,"Wi-fi internet locations"
3558658,126,"Wi-fi internet locations"
3558658,125,"Smart phone"
3558414,120,"Smart phone"
3558243,128,"Smart phone"
3558659,149,"Smart phone"
3558658,127,"Your own laptop or iPad/tablet"
3558414,121,"Your own laptop or iPad/tablet"
3558659,150,"Wi-fi internet locations"
3558659,151,"Your own laptop or iPad/tablet"
3558660,148,"Internet cafes"
3558660,149,"Wi-fi internet locations"
3558660,147,"Smart phone"
3558676,117,"Smart phone"
3558455,114,"Smart phone"
3558677,154,"Smart phone"
3558660,150,"Your own laptop or iPad/tablet"
3558446,114,"Wi-fi internet locations"
3558676,118,"Wi-fi internet locations"
3558676,119,"Your own laptop or iPad/tablet"
3558677,155,"Wi-fi internet locations"
3558455,115,"Wi-fi internet locations"
3558691,126,"Wi-fi internet locations"
3558691,127,"Your own laptop or iPad/tablet"
3558464,116,"Wi-fi internet locations"
3558464,117,"Your own laptop or iPad/tablet"
3558693,132,"Wi-fi internet locations"
3558693,133,"Your own laptop or iPad/tablet"
3558707,120,"Wi-fi internet locations"
3558469,124,"Wi-fi internet locations"
3558707,121,"Your own laptop or iPad/tablet"
3558469,125,"Your own laptop or iPad/tablet"
3558693,131,"Smart phone"
3558707,119,"Smart phone"
3558478,147,"Wi-fi internet locations"
3558469,123,"Smart phone"
3558478,146,"Smart phone"
3558478,148,"Your own laptop or iPad/tablet"
3558710,126,"Smart phone"
3558724,113,"Smart phone"
3558710,127,"Wi-fi internet locations"
3558710,128,"Your own laptop or iPad/tablet"
3558494,141,"Wi-fi internet locations"
3558496,130,"Wi-fi internet locations"
3558503,131,"Your own laptop or iPad/tablet"
3558741,94,"Wi-fi internet locations"
3558505,106,"Your own laptop or iPad/tablet"
3558494,140,"Smart phone"
3558496,129,"Smart phone"
3558503,130,"Smart phone"
3558505,105,"Smart phone"
3558503,132,"Other types of technology"
3558743,124,"Smart phone"
3558519,140,"Smart phone"
3558741,95,"Your own laptop or iPad/tablet"
3558743,125,"Wi-fi internet locations"
3558519,141,"Wi-fi internet locations"
3558757,117,"Your own laptop or iPad/tablet"
3558521,150,"Wi-fi internet locations"
3558760,109,"Your own laptop or iPad/tablet"
3558521,149,"Smart phone"
3558760,108,"Smart phone"
3558528,104,"Smart phone"
3558530,121,"Smart phone"
3558528,105,"Wi-fi internet locations"
3558528,106,"Your own laptop or iPad/tablet"
3558530,122,"Your own laptop or iPad/tablet"
3558775,102,"Wi-fi internet locations"
3558537,117,"Wi-fi internet locations"
3558776,127,"Wi-fi internet locations"
3558537,116,"Smart phone"
3558776,126,"Smart phone"
3558777,173,"Smart phone"
3558553,153,"Smart phone"
3558776,128,"Your own laptop or iPad/tablet"
3558546,136,"Internet cafes"
3558777,174,"Wi-fi internet locations"
